n,r,m
(:Object {name: 鱼磬}),[:SYMBOLIZES],(:Symbol {name: 吉庆有余，平安富贵})
(:Object {name: 花瓶}),[:SYMBOLIZES],(:Symbol {name: 吉庆有余，平安富贵})
(:Object {name: 牡丹花}),[:SYMBOLIZES],(:Symbol {name: 吉庆有余，平安富贵})
(:Artwork {name: 吉庆有余 平安富贵(立三裁·双幅) (道光)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/27.%E5%90%89%E5%BA%86%E6%9C%89%E4%BD%99%20%E5%B9%B3%E5%AE%89%E5%AF%8C%E8%B4%B5%28%E7%AB%8B%E4%B8%89%E8%A3%81%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E9%81%93%E5%85%89%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 抚婴图(立三裁·双幅) (道光)}),[:DEPICTS],(:Figure {name: 仕女})
(:Artwork {name: 抚婴图(立三裁·双幅) (道光)}),[:DEPICTS],(:Figure {name: 娃娃})
(:Figure {name: 仕女}),[:SYMBOLIZES],(:Symbol {name: 幽娴})
(:Figure {name: 娃娃}),[:SYMBOLIZES],(:Symbol {name: 活泼可爱})
(:Artwork {name: 抚婴图(立三裁·双幅) (道光)}),[:DEPICTS],(:Object {name: 风亭})
(:Artwork {name: 抚婴图(立三裁·双幅) (道光)}),[:DEPICTS],(:Object {name: 花石})
(:Artwork {name: 抚婴图(立三裁·双幅) (道光)}),[:DEPICTS],(:Object {name: 竹木})
(:Artwork {name: 抚婴图(立三裁·双幅) (道光)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/28.%E6%8A%9A%E5%A9%B4%E5%9B%BE%28%E7%AB%8B%E4%B8%89%E8%A3%81%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E9%81%93%E5%85%89%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 蟾宫折桂(立三裁) (道光)}),[:DEPICTS],(:Figure {name: 仕女娃娃})
(:Artwork {name: 蟾宫折桂(立三裁) (道光)}),[:DEPICTS],(:Object {name: 蟾宫折桂})
(:Object {name: 蟾宫折桂}),[:SYMBOLIZES],(:Symbol {name: 考试及第})
(:Object {name: 蟾宫折桂}),[:SYMBOLIZES],(:Symbol {name: 吉祥语})
(:Artwork {name: 蟾宫折桂(立三裁) (道光)}),[:IS_A],(:Attribute {name: 双幅})
(:Artwork {name: 蟾宫折桂(立三裁) (道光)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/29.%E8%9F%BE%E5%AE%AB%E6%8A%98%E6%A1%82%28%E7%AB%8B%E4%B8%89%E8%A3%81%29%20%28%E9%81%93%E5%85%89%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 榴开百子 桃献千年}),[:DEPICTS],(:Person {name: 人物})
(:Artwork {name: 榴开百子 桃献千年}),[:BELONGS_TO_ERA],(:Era {name: 传统国画影响时期})
(:Person {name: 人物}),[:DEPICTS],(:Object {name: 衣纹})
(:Object {name: 衣纹}),[:SYMBOLIZES],(:Symbol {name: 清秀热逸的美})
(:Artwork {name: 榴开百子 桃献千年}),[:REFERENCES],(:Document {name: 传统国画})
(:Person {name: 陈洪绶}),[:IS_A],(:Person {name: 陈洪绶})
(:Person {name: 任熊}),[:IS_A],(:Person {name: 任熊})
(:Artwork {name: 榴开百子 桃献千年}),[:DEPICTS],(:Figure {name: 人物面部})
(:Artwork {name: 榴开百子 桃献千年}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/30.%E6%A6%B4%E5%BC%80%E7%99%BE%E5%AD%90%20%E6%A1%83%E7%8C%AE%E5%8D%83%E5%B9%B4%20%28%E7%AB%8B%E4%B8%89%E8%A3%81%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 弄璋如意 兰桂联芳}),[:DEPICTS],(:Object {name: 璋})
(:Object {name: 璋}),[:SYMBOLIZES],(:Symbol {name: 比德})
(:Artwork {name: 弄璋如意 兰桂联芳}),[:DEPICTS],(:Object {name: 兰})
(:Artwork {name: 弄璋如意 兰桂联芳}),[:DEPICTS],(:Object {name: 桂})
(:Object {name: 兰}),[:SYMBOLIZES],(:Symbol {name: 兰蕙})
(:Object {name: 桂}),[:SYMBOLIZES],(:Symbol {name: 桂馥})
(:Artwork {name: 弄璋如意 兰桂联芳}),[:SYMBOLIZES],(:Symbol {name: 弄璋如意，兰桂联芳})
(:Symbol {name: 弄璋如意，兰桂联芳}),[:SYMBOLIZES],(:Symbol {name: 子孙昌盛})
(:Document {name: 《诗小雅·斯干》}),[:REFERENCES],(:Artwork {name: 喜屏})
(:Person {name: 郑玄}),[:IS_A],(:Attribute {name: 笺注者})
(:Document {name: 《诗小雅·斯干》}),[:REFERENCES],(:Document {name: 郑玄笺})
(:Artwork {name: 弄璋如意 兰桂联芳}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/31.%E5%BC%84%E7%92%8B%E5%A6%82%E6%84%8F%20%E5%85%B0%E6%A1%82%E8%81%94%E8%8A%B3%28%E6%9D%BF%E5%B1%8F%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 教子有方}),[:DEPICTS],(:Figure {name: 仕女娃娃})
(:Artwork {name: 教子有方}),[:USES],(:Technique {name: 线条多变})
(:Artwork {name: 教子有方}),[:USES],(:Technique {name: 色调匀称中和})
(:Artwork {name: 教子有方}),[:USES],(:Technique {name: 对女性的极其婉媚多姿的表现})
(:Person {name: 钱慧安}),[:IS_A],(:Attribute {name: 国画家})
(:Artwork {name: 教子有方}),[:REFERENCES],(:Document {name: 图版说明68})
(:Artwork {name: 教子有方}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/32.%E6%95%99%E5%AD%90%E6%9C%89%E6%96%B9%28%E7%AB%8B%E4%B8%89%E6%89%8D%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 抚琴图}),[:DEPICTS],(:Figure {name: 仕女})
(:Artwork {name: 抚琴图}),[:BELONGS_TO_ERA],(:Era {name: 未明确})
(:Person {name: 钱慧安}),[:IS_A],(:Person {name: 钱慧安})
(:Artwork {name: 抚琴图}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/33.%E6%8A%9A%E7%90%B4%E5%9B%BE%20%28%E7%AB%8B%E4%B8%89%E8%A3%81%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 渔妇}),[:DEPICTS],(:Figure {name: 渔妇})
(:Artwork {name: 渔妇}),[:DEPICTS],(:Figure {name: 儿童})
(:Artwork {name: 渔妇}),[:BELONGS_TO_ERA],(:Era {name: 清末})
(:Figure {name: 渔妇}),[:IS_A],(:Figure {name: 姿态婀娜优美})
(:Figure {name: 儿童}),[:IS_A],(:Figure {name: 健康活泼})
(:Artwork {name: 渔妇}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/34.%E6%B8%94%E5%A6%87%28%E7%AB%8B%E4%B8%89%E8%A3%81%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 《天仙送子》}),[:DEPICTS],(:Figure {name: 天仙})
(:Artwork {name: 《天仙送子》}),[:DEPICTS],(:Figure {name: 天女})
(:Artwork {name: 《天仙送子》}),[:DEPICTS],(:Object {name: 子})
(:Artwork {name: 《天仙送子》}),[:USES],(:Technique {name: 简练多变的线条})
(:Artwork {name: 《天仙送子》}),[:USES],(:Technique {name: 朱红地})
(:Artwork {name: 《天仙送子》}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 《天仙送子》}),[:REFERENCES],(:Document {name: 《魏书·帝纪》})
(:Figure {name: 天仙}),[:SYMBOLIZES],(:Symbol {name: 送子})
(:Artwork {name: 《天仙送子》}),[:SYMBOLIZES],(:Symbol {name: 颂祝之词})
(:Artwork {name: 《天仙送子》}),[:IS_A],(:Artwork {name: 贺喜的板屏})
(:Object {name: 朱红地}),[:SYMBOLIZES],(:Symbol {name: 喜庆的气氛})
(:Technique {name: 简练多变的线条}),[:SYMBOLIZES],(:Symbol {name: 质感和动态})
(:Artwork {name: 《天仙送子》}),[:DEPICTS],(:Object {name: 云子头})
(:Object {name: 云子头}),[:SYMBOLIZES],(:Symbol {name: 自天而降之感})
(:Artwork {name: 《天仙送子》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/35.%E5%A4%A9%E4%BB%99%E9%80%81%E5%AD%90%28%E6%9D%BF%E5%B1%8F%29%20%28%E5%85%89%E7%BB%AA%E7%89%88%E5%90%8E%E5%8D%B0%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:DEPICTS],(:Figure {name: 美人})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:DEPICTS],(:Object {name: 湖石})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:DEPICTS],(:Object {name: 花竹})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:DEPICTS],(:Object {name: 鱼})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:DEPICTS],(:Object {name: 雁})
(:Object {name: 鱼}),[:SYMBOLIZES],(:Symbol {name: 沉鱼})
(:Object {name: 雁}),[:SYMBOLIZES],(:Symbol {name: 落雁})
(:Symbol {name: 沉鱼落雁}),[:SYMBOLIZES],(:Symbol {name: 女子容貌美丽})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:REFERENCES],(:Document {name: 《庄子·齐物论》})
(:Document {name: 《西厢记》}),[:REFERENCES],(:Artwork {name: 《沉鱼落雁》})
(:Symbol {name: 闭月羞花}),[:SYMBOLIZES],(:Symbol {name: 女子貌美})
(:Artwork {name: 沉鱼落雁 闭月羞花 (立三裁·双幅) (光绪版后印)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/36.%E6%B2%89%E9%B1%BC%E8%90%BD%E9%9B%81%20%E9%97%AD%E6%9C%88%E7%BE%9E%E8%8A%B1%20%28%E7%AB%8B%E4%B8%89%E8%A3%81%C2%B7%E5%8F%8C%E5%B9%85%29%20%28%E5%85%89%E7%BB%AA%E7%89%88%E5%90%8E%E5%8D%B0%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 《五福寿为先》}),[:DEPICTS],(:Figure {name: 五个儿童})
(:Artwork {name: 《五福寿为先》}),[:DEPICTS],(:Object {name: 寿桃})
(:Object {name: 寿桃}),[:SYMBOLIZES],(:Symbol {name: 长寿})
(:Artwork {name: 《五福寿为先》}),[:REFERENCES],(:Document {name: 《尚书·洪范》})
(:Artwork {name: 《五福寿为先》}),[:SYMBOLIZES],(:Symbol {name: 增寿})
(:Artwork {name: 《五福寿为先》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/37.%E4%BA%94%E7%A6%8F%E5%AF%BF%E4%B8%BA%E5%85%88%28%E6%A8%AA%E4%B8%89%E8%A3%81%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 《金鱼双美》}),[:DEPICTS],(:Figure {name: 娃娃})
(:Artwork {name: 《金鱼双美》}),[:DEPICTS],(:Object {name: 金鱼})
(:Artwork {name: 《金鱼双美》}),[:DEPICTS],(:Object {name: 莲叶})
(:Artwork {name: 《金鱼双美》}),[:DEPICTS],(:Object {name: 荷花})
(:Object {name: 莲叶}),[:SYMBOLIZES],(:Symbol {name: 连年有余})
(:Object {name: 荷花}),[:SYMBOLIZES],(:Symbol {name: 连年有余})
(:Artwork {name: 《金鱼双美》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/38.%E9%87%91%E9%B1%BC%E5%8F%8C%E7%BE%8E%28%E8%B4%A1%E5%B0%96%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 《叫蝈蝈》}),[:DEPICTS],(:Figure {name: 儿童})
(:Figure {name: 儿童}),[:SYMBOLIZES],(:Symbol {name: 生子之兆})
(:Object {name: 蝈蝈}),[:SYMBOLIZES],(:Symbol {name: 生子之兆})
(:Artwork {name: 《叫蝈蝈》}),[:DEPICTS],(:Object {name: 蝈蝈})
(:Artwork {name: 《叫蝈蝈》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/39.%E5%8F%AB%E8%9D%88%E8%9D%88%28%E6%A8%AA%E4%B8%89%E8%A3%81%29%20%28%E5%85%89%E7%BB%AA%E7%89%88%E5%90%8E%E5%8D%B0%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 《五子夺莲》}),[:DEPICTS],(:Figure {name: 儿童})
(:Artwork {name: 《五子夺莲》}),[:DEPICTS],(:Object {name: 莲蓬})
(:Artwork {name: 《五子夺莲》}),[:SYMBOLIZES],(:Symbol {name: 丰收喜悦})
(:Artwork {name: 《五子夺莲》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/40.%E4%BA%94%E5%AD%90%E5%A4%BA%E8%8E%B2%28%E8%B4%A1%E5%B0%96%29%20%28%E5%85%89%E7%BB%AA%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 琴棋书画(横三裁) (光绪版后印)}),[:DEPICTS],(:Figure {name: 娃娃})
(:Artwork {name: 琴棋书画(横三裁) (光绪版后印)}),[:DEPICTS],(:Object {name: 琴})
(:Artwork {name: 琴棋书画(横三裁) (光绪版后印)}),[:DEPICTS],(:Object {name: 棋})
(:Artwork {name: 琴棋书画(横三裁) (光绪版后印)}),[:DEPICTS],(:Object {name: 书})
(:Artwork {name: 琴棋书画(横三裁) (光绪版后印)}),[:DEPICTS],(:Object {name: 画})
(:Object {name: 琴}),[:SYMBOLIZES],(:Symbol {name: 志趣的文雅})
(:Object {name: 棋}),[:SYMBOLIZES],(:Symbol {name: 志趣的文雅})
(:Object {name: 书}),[:SYMBOLIZES],(:Symbol {name: 志趣的文雅})
(:Object {name: 画}),[:SYMBOLIZES],(:Symbol {name: 志趣的文雅})
(:Figure {name: 娃娃}),[:DEPICTS],(:Figure {name: 天真活泼的娃娃})
(:Figure {name: 娃娃}),[:DEPICTS],(:Figure {name: 文静可爱的娃娃})
(:Artwork {name: 琴棋书画(横三裁) (光绪版后印)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/41.%E7%90%B4%E6%A3%8B%E4%B9%A6%E7%94%BB%28%E6%A8%AA%E4%B8%89%E8%A3%81%29%20%28%E5%85%89%E7%BB%AA%E7%89%88%E5%90%8E%E5%8D%B0%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 欢天喜地(横三裁) (光绪版后印)}),[:DEPICTS],(:Figure {name: 儿童})
(:Figure {name: 儿童}),[:SYMBOLIZES],(:Symbol {name: 活泼天真})
(:Artwork {name: 欢天喜地(横三裁) (光绪版后印)}),[:SYMBOLIZES],(:Symbol {name: 欢快喜庆})
(:Artwork {name: 欢天喜地(横三裁) (光绪版后印)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/42.%E6%AC%A2%E5%A4%A9%E5%96%9C%E5%9C%B0%28%E6%A8%AA%E4%B8%89%E8%A3%81%29%20%28%E5%85%89%E7%BB%AA%E7%89%88%E5%90%8E%E5%8D%B0%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 莲年有余(横三裁) (光绪版后印)}),[:DEPICTS],(:Figure {name: 娃娃})
(:Artwork {name: 莲年有余(横三裁) (光绪版后印)}),[:DEPICTS],(:Object {name: 莲花})
(:Artwork {name: 莲年有余(横三裁) (光绪版后印)}),[:DEPICTS],(:Object {name: 金鱼})
(:Artwork {name: 莲年有余(横三裁) (光绪版后印)}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29/43.%E8%8E%B2%E5%B9%B4%E6%9C%89%E4%BD%99%28%E6%A8%AA%E4%B8%89%E8%A3%81%29%20%28%E5%85%89%E7%BB%AA%E7%89%88%E5%90%8E%E5%8D%B0%29-%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%20%28%E5%A4%A9%E6%B4%A5%E5%B8%82%E8%89%BA%E6%9C%AF%E5%8D%9A%E7%89%A9%E9%A6%86%E7%BC%96%29.png})
(:Artwork {name: 《鱼水千年合》}),[:DEPICTS],(:Figure {name: 娃娃})
(:Artwork {name: 《鱼水千年合》}),[:DEPICTS],(:Object {name: 鱼})
(:Artwork {name: 《鱼水千年合》}),[:DEPICTS],(:Object {name: 莲池})
(:Artwork {name: 《鱼水千年合》}),[:DEPICTS],(:Object {name: 荷叶})
(:Artwork {name: 《鱼水千年合》}),[:DEPICTS],(:Object {name: 金鱼})
(:Object {name: 鱼}),[:SYMBOLIZES],(:Symbol {name: 鱼水千年合})
(:Object {name: 莲池}),[:SYMBOLIZES],(:Symbol {name: 鱼水千年合})
(:Artwork {name: 《鱼水千年合》}),[:REFERENCES],(:Document {name: 《读诸葛武侯传》})
(:Person {name: 李白}),[:CREATED],(:Document {name: 《读诸葛武侯传》})
(:Artwork {name: 《鱼水千年合》}),[:USES],(:Technique {name: 色彩对比})
